STATION_NOM,POLLUANT_NOM,DATE_MESURE,MESURE_H01,MESURE_H02,MESURE_H03,MESURE_H04,MESURE_H05,MESURE_H06,MESURE_H07,MESURE_H08,MESURE_H09,MESURE_H10,MESURE_H11,MESURE_H12,MESURE_H13,MESURE_H14,MESURE_H15,MESURE_H16,MESURE_H17,MESURE_H18,MESURE_H19,MESURE_H20,MESURE_H21,MESURE_H22,MESURE_H23,MESURE_H24,MES_H_MINI,MES_H_MAXI,MOYENNE_JOUR
Bordeaux - Bastide,PM10,2012-02-26,34,30,34,31,22,28,22,15,18,20,22,26,20,16,15,16,17,21,31,45,43,37,44,53,15,53,28
Bordeaux - Bastide,PM10,2012-02-27,47,69,49,40,41,42,46,63,76,75,57,42,35,30,,23,28,28,59,65,60,62,57,48,23,76,50
Bordeaux - Bastide,PM10,2012-02-28,46,43,40,39,41,44,47,64,59,49,46,56,48,38,31,31,32,33,59,135,152,137,118,105,31,152,62
Bordeaux - Bastide,PM10,2012-02-29,97,85,81,89,79,83,92,111,112,117,129,123,62,49,41,32,27,28,32,52,50,54,57,69,27,129,73
Bordeaux - Bastide,PM10,2012-03-01,64,71,66,64,68,72,76,93,102,91,97,97,80,60,45,38,43,32,65,87,73,78,78,81,32,102,72
Bordeaux - Bastide,PM10,2012-03-02,74,83,84,81,81,81,85,117,135,125,90,92,90,59,42,44,50,54,78,131,151,117,68,57,42,151,86
Bordeaux - Bastide,PM10,2012-03-03,62,64,66,69,64,66,68,65,52,60,61,34,25,24,25,20,24,23,24,27,29,49,64,74,20,74,47
Bordeaux - Bastide,PM10,2012-03-04,63,53,51,44,42,43,41,40,42,42,40,35,34,32,29,26,20,19,16,24,22,18,17,13,13,63,34
Bordeaux - Bastide,PM10,2012-03-05,15,16,17,17,19,33,43,56,60,71,36,18,16,18,17,25,17,15,17,22,22,26,20,17,15,71,26
Bordeaux - Bastide,PM10,2012-03-06,12,9,8,13,18,20,30,47,52,45,27,21,19,17,22,25,22,20,21,25,30,31,28,32,8,52,25
