ANNEE,COMMUNE,NB_BENEFICIAIRES
2011,Commune Carignan de Bordeaux,32
2011,Commune Cars,13
2011,Commune Cartelègue,17
2011,Commune Casseuil,9
2011,Commune Castelmoron d Albret,NC
2011,Commune Castelnau du Médoc,48
2011,Commune Castets en Dorthe,9
2011,Commune Castillon de Castets,NC
2011,Commune Castillon la Bataille,56
2011,Commune Castres Gironde,10
2011,Commune Caudrot,16
2011,Commune Caumont,NC
2011,Commune Cavignac,26
2011,Commune Cazalis,NC
2011,Commune Cazats,NC
2011,Commune Cazaugitat,NC
2011,Commune Cenon,365
2011,Commune Cessac,NC
2011,Commune Cestas,175
2011,Commune Chamadelle,7
2011,Commune Cissac Médoc,29
2011,Commune Civrac de Blaye,9
2011,Commune Civrac de Dordogne,NC
2011,Commune Civrac en Médoc,NC
2011,Commune Cleyrac,NC
2011,Commune Coimères,14
2011,Commune Coirac,NC
2011,Commune Comps,6
2011,Commune Couqueques,NC
2011,Commune Cours les Bains,NC
2011,Commune Coutras,105
2011,Commune Croignon,NC
2011,Commune Créon,46
2011,Commune Cubnezais,18
2011,Commune Cubzac les Ponts,22
2011,Commune Cudos,6
2011,Commune Cursan,NC
2011,Commune Cussac Fort Médoc,27
2011,Commune Cénac,19
2011,Commune Cérons,22
2011,Commune Cézac,25
2011,Commune Daignac,NC
2011,Commune Dardenac,NC
2011,Commune Daubeze,NC
2011,Commune Dieulivol,NC
2011,Commune Donnezac,13
2011,Commune Donzac,NC
2011,Commune Doulezon,NC
2011,Commune Escaudes,NC
2011,Commune Escoussans,NC
2011,Commune Espiet,NC
2011,Commune Etauliers,26
2011,Commune Eynesse,NC
2011,Commune Eyrans,9
2011,Commune Eysines,257
2011,Commune Faleyras,6
2011,Commune Fargues St Hilaire,22
2011,Commune Fargues de Langon,12
2011,Commune Flaujagues,NC
2011,Commune Floirac,218
2011,Commune Fontet,7
2011,Commune Fours,NC
2011,Commune Francs,NC
2011,Commune Fronsac,7
2011,Commune Frontenac,9
2011,Commune Gabarnac,NC
2011,Commune Gaillan en Médoc,14
2011,Commune Gajac,NC
2011,Commune Galgon,33
2011,Commune Gans,NC
2011,Commune Gardegan et Tourtirac,6
2011,Commune Gauriac,10
2011,Commune Gauriaguet,10
2011,Commune Generac,11
2011,Commune Genissac,12
2011,Commune Gensac,13
2011,Commune Gironde sur Dropt,11
2011,Commune Giscos,NC
2011,Commune Gornac,6
