COMMUNE_EQUIPEMENT,CODE_EQUIPEMENT_PERE,EQUIPEMENT_PERE,CODE_EQUIPEMENT,EQUIPEMENT,CD_TYPE_EQUIPEMENT,TYPE_EQUIPEMENT,DATE_MAJ_EQUIPEMENT,ACTIVITE_PRATIQUE,NUM_DE_RUE,ADRESSE,CODE_POSTAL,GESTIONNAIRE,PROPRIETAIRE,ACCES_PMR,NATURE_DU_SOL,TYPE_ECLAIRAGE,LONGUEUR,LARGEUR,HAUTEUR,PROFONDEUR_MIN,PROFONDEUR_MAX,NB_VEST_ARBITRES_EQUIPEMENT,NB_DOUCHES_EQUIPEMENT,NB_PLACE_TRIBUNE_EQUIPEMENT,NB_TRIBUNES_EQUIPEMENT,NB_VEST_JEUNES_EQUIPEMENT,CAPACITE_DEBOUT_EQUIPEMENT,CAPACITE_TOTAL_EQUIPEMENT,NB_UNITE_EQUIPEMENT,UNITES_EQUIPEMENT,LONGITUDE,LATITUDE
ST MEDARD EN JALLES                   ,9440,Espace Magudas,9680,Salle Omnisports de Magudas,101,"Salle de sport / Gymnase/Salle Omnisports",17-09-2009,,,"MAGUDAS",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Synthétique","Entrainement",32,20,7,,,1,2,,,2,,,,,,
ST MEDARD EN JALLES                   ,,,9163,Salle Olympie  ,101,"Salle de sport / Gymnase/Salle Omnisports",17-09-2009,,,"RUE HENRY  ROL TANGUY",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Synthétique","Compétition",44,28,7,,,2,4,100,1,2,,,,,,
ST MEDARD EN JALLES                   ,,,6038,Salle Polyvalente Louise Michel,500,"Salle polyvalente (sport+socioculturelle)",17-09-2009,,,"RUE GEORGES CLÉMENCEAU",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Synthétique","Entrainement",30,20,8,,,,,,,,,,,,,
ST MEDARD EN JALLES                   ,9440,Espace Magudas,6022,Salle polyvalente Lagrange,500,"Salle polyvalente (sport+socioculturelle)",17-09-2009,,,"RUE DU COMMANDANT CHARCOT",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Carrelage","Entrainement",16,11,5,,,,,,,,,,,,-0.75743246,44.882687
ST MEDARD EN JALLES                   ,8258,Espace Ariane,6029,Salle de tir a l'arc,102,"Salle spécialisée",17-09-2009,,,"ALLÉE DU PREUILHAC",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Béton","Entrainement",27,13,6,,,,,,,,,,,,-0.7053166,44.89426
ST MEDARD EN JALLES                   ,8254,Collège François Mauriac,5979,Sautoir a la perche,813,"Sautoir a la perche",17-09-2009,,,"AVENUE MONTAIGNE",33160,Département,Département,,"Synthétique","Non éclairé",50,4,,,,,,,,,,,,,-0.7098404,44.89408
ST MEDARD EN JALLES                   ,7803,Complexe Robert Monseau,5970,Sautoir a la perche,813,"Sautoir a la perche",17-09-2009,,,"RUE CHARLES CAPSEC",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Synthétique","Entrainement",148,10,,,,,,,,,,,,,-0.7057936,44.88396
ST MEDARD EN JALLES                   ,7803,Complexe Robert Monseau,5971,Sautoir en hauteur,812,"Sautoir en hauteur",17-09-2009,,,"RUE CHARLES CAPSEC",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Synthétique","Entrainement",43,15,,,,,,,,,,,,,-0.7049362,44.88356
ST MEDARD EN JALLES                   ,8254,Collège François Mauriac,5982,sautoir en hauteur,812,"Sautoir en hauteur",17-09-2009,,,"AVENUE MONTAIGNE",33160,Département,Département,,"Synthétique","Non éclairé",25,9,,,,,,,,,,,,,-0.71005785,44.894123
ST MEDARD EN JALLES                   ,8258,Espace Ariane,5985,sautoir en hauteur,812,"Sautoir en hauteur",17-09-2009,,,"ALLÉE DU PREUILHAC",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Cendrée","Non éclairé",25,15,,,,,,,,,,,,,-0.70571506,44.8946
ST MEDARD EN JALLES                   ,7800,Lycée Sud Médoc,6001,Sautoir en hauteur,812,"Sautoir en hauteur",17-09-2009,,,"RUE COPERNIC",33160,REG,REG,,"Bitumineux","Non éclairé",27,18,,,,,,,,,,,,,-0.71259147,44.905266
ST MEDARD EN JALLES                   ,7800,Lycée Sud Médoc,5999,Sautoir en longueur,814,"Sautoir en longueur et X3 sauts",17-09-2009,,,"RUE COPERNIC",33160,REG,REG,,"Bitumineux","Non éclairé",50,5,,,,,,,,,,,,,-0.7133343,44.90542
ST MEDARD EN JALLES                   ,8254,Collège François Mauriac,5978,Sautoir en longueur (double),814,"Sautoir en longueur et X3 sauts",17-09-2009,,,"AVENUE MONTAIGNE",33160,Département,Département,,"Synthétique","Non éclairé",100,5,,,,,,,,,,,,,-0.71001315,44.89423
ST MEDARD EN JALLES                   ,8254,Collège François Mauriac,5980,Sautoir en longueur,814,"Sautoir en longueur et X3 sauts",17-09-2009,,,"AVENUE MONTAIGNE",33160,Département,Département,,"Synthétique","Non éclairé",54,3,,,,,,,,,,,,,-0.7097169,44.89414
ST MEDARD EN JALLES                   ,8258,Espace Ariane,5975,Sautoir en longueur,814,"Sautoir en longueur et X3 sauts",17-09-2009,,,"ALLÉE DU PREUILHAC",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Synthétique","Non éclairé",60,2,,,,,,,,,,,,,-0.70514387,44.895275
ST MEDARD EN JALLES                   ,8259,Espace Bords de Jalles,5976,Sautoir en longueur,814,"Sautoir en longueur et X3 sauts",17-09-2009,,,"CHEMIN DE CANTELAUDE",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Sol naturel","Non éclairé",40,2,,,,,,,,,,,,,-0.7017221,44.891037
ST MEDARD EN JALLES                   ,7803,Complexe Robert Monseau,5973,Double Sautoir en longueur,814,"Sautoir en longueur et X3 sauts",17-09-2009,,,"RUE CHARLES CAPSEC",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Synthétique","Entrainement",80,4,,,,,,,,,,,,,-0.70584685,44.88331
ST MEDARD EN JALLES                   ,8253,Ecole primaire La Garenne,5997,Sautoir en longueur,814,"Sautoir en longueur et X3 sauts",17-09-2009,,,"RUE DES ORMEAUX",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Bitumineux","Non éclairé",60,5,,,,,,,,,,,,,-0.7426973,44.90156
ST MEDARD EN JALLES                   ,8258,Espace Ariane,5984,Sautoir en longueur 2,814,"Sautoir en longueur et X3 sauts",17-09-2009,,,"ALLÉE DU PREUILHAC",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Cendrée","Non éclairé",37,2,,,,,,,,,,,,,-0.7051072,44.894833
ST MEDARD EN JALLES                   ,8259,Espace Bords de Jalles,5959,Stand de tir à l'arc ,213,"Stand de tir à l'arc agréé",17-09-2009,,,"CHEMIN DE CANTELAUDE",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Sol naturel","Non éclairé",110,40,,,,,,,,,,,,,-0.7003153,44.891483
ST MEDARD EN JALLES                   ,,,7762,Centre Equestre de Belfort,40,"Surface destinée aux activités physiques (dont plan d'eau)",,,,"RUE DE BELFORT",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,,,,,,,,,,,,,,,,,,
ST MEDARD EN JALLES                   ,7803,Complexe Robert Monseau,6027,Tennis couvert B,103,"Tennis couvert",17-09-2009,,,"RUE CHARLES CAPSEC",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Bitumineux","Entrainement",36,18,9,,,,,,,,,,,,-0.7068327,44.885136
ST MEDARD EN JALLES                   ,7803,Complexe Robert Monseau,6026,Tennis couvert A,103,"Tennis couvert",17-09-2009,,,"RUE CHARLES CAPSEC",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Bitumineux","Entrainement",36,18,9,,,,4,,,2,,,,,-0.7074313,44.8852
ST MEDARD EN JALLES                   ,7803,Complexe Robert Monseau,5929,Terrain Mixte Honneur,224,"Terrain Mixte : Foot / Rugby",17-09-2009,,,"RUE CHARLES CAPSEC",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Pelouse","Entrainement",124,66,,,,,,1000,1,,,,,,-0.70546687,44.885166
ST MEDARD EN JALLES                   ,9438,Espace Georges Brassens,5940,Terrain de basket n°1,204,"Terrain de basket",17-09-2009,,,"AVENUE ANANTOLEFRANCE",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Bitumineux","Non éclairé",24,13,,,,,,,,,,,,,-0.7491841,44.89289
ST MEDARD EN JALLES                   ,7803,Complexe Robert Monseau,5937,Terrain de basket n°1,204,"Terrain de basket",17-09-2009,,,"RUE CHARLES CAPSEC",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Bitumineux","Entrainement",30,18,,,,,,,,,,,,,-0.70524716,44.88671
ST MEDARD EN JALLES                   ,7803,Complexe Robert Monseau,5938,Terrain de basket n°2,204,"Terrain de basket",17-09-2009,,,"RUE CHARLES CAPSEC",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Bitumineux","Entrainement",30,14,,,,,,,,,,,,,-0.7069779,44.88455
ST MEDARD EN JALLES                   ,8255,Ecole primaire Montaigne,5949,Terrain de basket,204,"Terrain de basket",17-09-2009,,,"AVENUE MONTAIGNE",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Bitumineux","Non éclairé",18,12,,,,,,,,,,,,,-0.71250385,44.894623
ST MEDARD EN JALLES                   ,9438,Espace Georges Brassens,5941,Terrain de basket n°2,204,"Terrain de basket",17-09-2009,,,"AVENUE ANANTOLEFRANCE",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Bitumineux","Non éclairé",24,13,,,,,,,,,,,,,-0.74899346,44.89288
ST MEDARD EN JALLES                   ,9440,Espace Magudas,5935,Terrain de Football  granges de Magudas,200,"Terrain de football",17-09-2009,,,"MAGUDAS RUE CONDORCET",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Prairie","Entrainement",100,60,,,,,,,,,,,,,-0.7256903,44.86213
ST MEDARD EN JALLES                   ,7803,Complexe Robert Monseau,5927,Terrain de football honneur,200,"Terrain de football",17-09-2009,,,"RUE CHARLES CAPSEC",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Pelouse","Compétition",124,66,,,,,6,2700,2,6,,,,,-0.705812,44.8836
ST MEDARD EN JALLES                   ,7803,Complexe Robert Monseau,5928,Terrain de football entrainement,200,"Terrain de football",17-09-2009,,,"RUE CHARLES CAPSEC",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Pelouse","Entrainement",100,60,,,,,,,,,,,,,-0.70563096,44.88446
ST MEDARD EN JALLES                   ,8259,Espace Bords de Jalles,5931,Grand Terrain de football,200,"Terrain de football",17-09-2009,,,"CHEMIN DE CANTELAUDE",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Pelouse","Entrainement",96,59,,,,,,,,,,,,,-0.7015807,44.89007
ST MEDARD EN JALLES                   ,8259,Espace Bords de Jalles,5933,Terrain de football benjamin n°2,200,"Terrain de football",17-09-2009,,,"CHEMIN DE CANTELAUDE",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Pelouse","Entrainement",64,44,,,,,,,,,,,,,-0.702848,44.89009
ST MEDARD EN JALLES                   ,8259,Espace Bords de Jalles,5934,Terrain de football benjamin  n°1,200,"Terrain de football",17-09-2009,,,"CHEMIN DE CANTELAUDE",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Pelouse","Entrainement",64,40,,,,,,,,,,,,,-0.70236063,44.889744
ST MEDARD EN JALLES                   ,9940,Plaine des sports des Biges à Caupian,9943,Terrain de football n°3,200,"Terrain de football",17-09-2009,,,"ALLÉE JULES VÉDRINES ",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Pelouse","Entrainement",100,60,,,,,,,,,,,,,,
ST MEDARD EN JALLES                   ,9940,Plaine des sports des Biges à Caupian,9944,Terrain de football n°4,200,"Terrain de football",17-09-2009,,,"ALLÉE JULES VÉDRINES",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Pelouse","Non éclairé",100,60,,,,,,,,,,,,,,
ST MEDARD EN JALLES                   ,,,5942,Terrain de football du Domaine de Caupian ,200,"Terrain de football",17-09-2009,,,"RUE G. CLÉMENCEAU",33160,PP,PP,,"Prairie","Non éclairé",30,20,,,,,,,,,,,,,-0.737692,44.8845
ST MEDARD EN JALLES                   ,7763,Espace Leo Lagrange,5936,Terrain de Football d'Hastignan,200,"Terrain de football",17-09-2009,,,"HASTIGNAN CHEMIN DE LINAS",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Prairie","Entrainement",100,60,,,,,,,,,,,,,-0.74662596,44.891514
ST MEDARD EN JALLES                   ,9940,Plaine des sports des Biges à Caupian,9941,Terrain de football n°1,200,"Terrain de football",17-09-2009,,,"ALLÉE JULES VÉDRINES ",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Pelouse","Entrainement",100,60,,,,2,6,,,4,,,,,,
ST MEDARD EN JALLES                   ,9940,Plaine des sports des Biges à Caupian,9942,Terrain de football n°2,200,"Terrain de football",17-09-2009,,,"ALLÉE JULES VÉDRINES ",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Pelouse","Entrainement",100,60,,,,,,,,,,,,,,
ST MEDARD EN JALLES                   ,7802,Ecole primaire Cérillan,5945,Terrain de hand ball,203,"Terrain de hand ball",17-09-2009,,,"AVENUE VOLTAIRE",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Bitumineux","Non éclairé",30,14,,,,,,,,,,,,,-0.75885606,44.894665
ST MEDARD EN JALLES                   ,7803,Complexe Robert Monseau,5939,Terrain de hand ball,203,"Terrain de hand ball",17-09-2009,,,"RUE CHARLES CAPSEC",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Bitumineux","Entrainement",40,20,,,,,,,,,,,,,-0.70691085,44.884712
ST MEDARD EN JALLES                   ,8258,Espace Ariane,5943,Terrain de hand ball,203,"Terrain de hand ball",17-09-2009,,,"ALLÉE DU PREUILHAC",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Bitumineux","Non éclairé",40,20,,,,,,,,,,,,,-0.70528424,44.89483
ST MEDARD EN JALLES                   ,9438,Espace Georges Brassens,9439,Terrain de Hand ball ,203,"Terrain de hand ball",17-09-2009,,,"AVENUE ANANTOLEFRANCE        HASTIGNAN",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Bitumineux","Non éclairé",40,20,,,,,,,,,,,,,,
ST MEDARD EN JALLES                   ,8255,Ecole primaire Montaigne,5950,Terrain de hand ball,203,"Terrain de hand ball",17-09-2009,,,"AVENUE MONTAIGNE",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Bitumineux","Non éclairé",32,13,,,,,,,,,,,,,-0.71189153,44.89454
ST MEDARD EN JALLES                   ,7803,Complexe Robert Monseau,6035,Salle de ring hockey,109,"Terrain de hockey couvert (patinoire patin a roulette)",25-05-2012,,,"RUE CHARLES CAPSEC",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Ciment","Entrainement",40,23,9,,,,2,100,1,2,,,,,-0.70718116,44.88456
ST MEDARD EN JALLES                   ,7799,Gare cycliste,5961,Boulodrome de la Gare,215,"Terrain de pétanque",17-09-2009,,,"RUE GABRIEL GARBAY",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Gravier","Non éclairé",53,18,,,,,,,,,,,,,-0.72618246,44.892345
ST MEDARD EN JALLES                   ,9438,Espace Georges Brassens,5962,Boulodrome d'Hastignan,215,"Terrain de pétanque",17-09-2009,,,"HASTIGNAN AV ANATOLE FRANCE",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Gravier","Non éclairé",20,8,,,,,,,,,,,,,-0.7494346,44.893757
ST MEDARD EN JALLES                   ,,,5960,Boulodrome Maison d'Issac,215,"Terrain de pétanque",17-09-2009,,,"RUE BLAISE PASCAL",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Gravier","Entrainement",48,30,,,,,,,,,,,,,-0.76855135,44.89343
ST MEDARD EN JALLES                   ,9440,Espace Magudas,5963,Boulodrome Georges Blanc,215,"Terrain de pétanque",17-09-2009,,,"PLACE GEORGES BLANC",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Gravier","Non éclairé",20,8,,,,,,,,,,,,,-0.72802484,44.86593
ST MEDARD EN JALLES                   ,7803,Complexe Robert Monseau,5930,Terrain d'entrainement Rugby,216,"Terrain de rugby",17-09-2009,,,"RUE CHARLES CAPSEC",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Pelouse","Non éclairé",100,60,,,,,,,,,,,,,-0.70527166,44.885998
ST MEDARD EN JALLES                   ,8259,Espace Bords de Jalles,5932,Terrain de rugby des Bords de Jalles,216,"Terrain de rugby",17-09-2009,,,"CHEMIN DE CANTELAUDE",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Pelouse","Entrainement",111,65,,,,,,,,,,,,,-0.7013815,44.8906
ST MEDARD EN JALLES                   ,,,8259,Espace Bords de Jalles,20,"Terrain de sport et plaine de jeux",,,,"CHEMIN DE CANTELAUDE",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,,,,,,,,,,,,,,,,,,
ST MEDARD EN JALLES                   ,,,7799,Gare cycliste,20,"Terrain de sport et plaine de jeux",,,,"RUE GABRIEL GARBAY",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,,,,,,,,,,,,,,,,,,
ST MEDARD EN JALLES                   ,7802,Ecole primaire Cérillan,5946,Plateau d'évolution ,220,"Terrain ou plateau d'évolution (stabilisé ou herbeux, diverses disciplines)",17-09-2009,,,"AVENUE VOLTAIRE",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Prairie","Non éclairé",28,15,,,,,,,,,,,,,-0.7594687,44.89452
ST MEDARD EN JALLES                   ,7801,Ecole primaire Corbiac,5947,Plateau d'évolution,220,"Terrain ou plateau d'évolution (stabilisé ou herbeux, diverses disciplines)",17-09-2009,,,"ROUTE DE FEYDIT",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Cendrée","Non éclairé",44,20,,,,,,,,,,,,,-0.70178753,44.879677
ST MEDARD EN JALLES                   ,7803,Complexe Robert Monseau,6403,Zone de lancer du marteau,816,"Zone de lancer du disque et marteau",17-09-2009,,,"RUE CHARLES CAPSEC",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Synthétique","Entrainement",2,1,,,,,,,,,,,,,-0.70504177,44.883636
ST MEDARD EN JALLES                   ,7803,Complexe Robert Monseau,5974,Zone de lancer du disque n°1,816,"Zone de lancer du disque et marteau",17-09-2009,,,"RUE CHARLES CAPSEC",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Synthétique","Entrainement",2,1,,,,,,,,,,,,,-0.7050334,44.883484
ST MEDARD EN JALLES                   ,7803,Complexe Robert Monseau,9290,Zone de lancer du disque n°2,816,"Zone de lancer du disque et marteau",17-09-2009,,,"RUE CHARLES CAPSEC",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Synthétique","Entrainement",2,1,,,,,,,,,,,,,,
ST MEDARD EN JALLES                   ,7803,Complexe Robert Monseau,5972,Zone de lancer du javelot n°1,817,"Zone de lancer du javelot",17-09-2009,,,"RUE CHARLES CAPSEC",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Synthétique","Entrainement",35,4,,,,,,,,,,,,,-0.70663565,44.883614
ST MEDARD EN JALLES                   ,7803,Complexe Robert Monseau,9289,Zone de lancer du javelot n°2,817,"Zone de lancer du javelot",17-09-2009,,,"RUE CHARLES CAPSEC",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Synthétique","Non éclairé",35,4,,,,,,,,,,,,,,
ST MEDARD EN JALLES                   ,8258,Espace Ariane,5986,Zone de lancer du poids,815,"Zone de lancer du poids",17-09-2009,,,"ALLÉE DU PREUILHAC",33160,COMMUNE DE SAINT MEDARD EN JALLES,COMMUNE DE SAINT MEDARD EN JALLES,,"Cendrée","Non éclairé",26,14,,,,,,,,,,,,,-0.70531785,44.89498
ST MEDARD DE GUIZIERES                ,,,9753,Domaine public SAINT-MEDARD-DE-GUIZIERES,,,,,,,33230,,,,,,,,,,,,,,,,,,,,,
ST MEDARD DE GUIZIERES                ,8118,Point Rencontre Jeunes,2751,Bibliothèque du PRJ,504,"Bibliothèque",01-10-2009,,,"CAMPING DU GUA",33230,Commune,Commune,,"Carrelage","Entrainement",3,3,,,,,,,,,,,,,-0.059214,45.019962
ST MEDARD DE GUIZIERES                ,8117,Centre de loisirs,2357,Centre de loisirs sans hébergement,605,"Centre de loisirs sans hébergement",01-10-2009,,,"IMPASSE DU CHÂTEAU D'EAU",33230,Commune,Commune,,"Carrelage","Entrainement",8,8,2,,,,1,,,,,,,,-0.05711172,45.0174
ST MEDARD DE GUIZIERES                ,,,8121,Complexe sportif du Gua,80,"Complexe Sportif",,,,"RUE W. JAUBERT",33230,COMMUNE DE SAINT MEDARD GUIZIERES,COMMUNE DE SAINT MEDARD GUIZIERES,,,,,,,,,,,,,,,,,,,
ST MEDARD DE GUIZIERES                ,,,8117,Centre de loisirs,80,"Complexe Sportif",,,,"IMPASSE DU CHÂTEAU D'EAU",33230,Commune,Commune,,,,,,,,,,,,,,,,,,,
ST MEDARD DE GUIZIERES                ,8121,Complexe sportif du Gua,2343,Court de tennis n°2,201,"Court de tennis",01-10-2009,,,"RUE W. JAUBERT",33230,Commune,Commune,,"Béton poreux (Quick)","Entrainement",36,18,,,,,,,,,,,,,-0.05753441,45.019558
ST MEDARD DE GUIZIERES                ,8121,Complexe sportif du Gua,2342,Court de tennis n°1,201,"Court de tennis",01-10-2009,,,"RUE W. JAUBERT",33230,Commune,Commune,,"Béton poreux (Quick)","Entrainement",36,18,,,,,1,,,,,,,,-0.05777565,45.01956
ST MEDARD DE GUIZIERES                ,8118,Point Rencontre Jeunes,2354,Salle d'activités 1 du PRJ,501,"Foyer de jeunes,Point Accueil Jeune",01-10-2009,,,"CAMPING DU GUA",33230,Commune,Commune,,"Carrelage","Entrainement",3,3,,,,,,,,,,,,,-0.05911142,45.019936
ST MEDARD DE GUIZIERES                ,8118,Point Rencontre Jeunes,2748,Salle d'activités 2 du PRJ,501,"Foyer de jeunes,Point Accueil Jeune",01-10-2009,,,"CAMPING DU GUA",33230,Commune,Commune,,"Carrelage","Entrainement",3,3,,,,,,,,,,,,,-0.05911258,45.019962
ST MEDARD DE GUIZIERES                ,8118,Point Rencontre Jeunes,2750,Salle d'activités 3 du PRJ,501,"Foyer de jeunes,Point Accueil Jeune",01-10-2009,,,"CAMPING DU GUA",33230,Commune,Commune,,"Carrelage","Entrainement",7,3,,,,,,,,,,,,,-0.05919977,45.019928
ST MEDARD DE GUIZIERES                ,,,2344,Fronton Pelote basque,207,"Fronton de pelote basque",01-09-2009,,,"PLACE DES ECOLES",33230,COMMUNE DE SAINT MEDARD GUIZIERES,COMMUNE DE SAINT MEDARD GUIZIERES,,"Bitumineux","Non éclairé",40,13,,,,,,,,,,,,,-0.05506848,45.01709
ST MEDARD DE GUIZIERES                ,8119,Ecole Jeanne d'Arc,2355,Halle de sport,104,"Halle de sport",01-10-2009,,,"RUE DE BELFORT",33230,Commune,Commune,,"Béton","Entrainement",30,18,7,,,,2,,,2,,,,,-0.06019455,45.014145
ST MEDARD DE GUIZIERES                ,,,8118,Point Rencontre Jeunes,50,"Locaux socio-éducatifs (+ salle d'activités socioculturelles, salle polyvalente, salle des fêtes)",,,,"CAMPING DU GUA",33230,Commune,Commune,,,,,,,,,,,,,,,,,,,
ST MEDARD DE GUIZIERES                ,8121,Complexe sportif du Gua,2353,Maison des Associations,510,"Maison des Associations",01-10-2009,,,"RUE W. JAUBERT",33230,Commune,Commune,,"Carrelage","Entrainement",13,5,6,,,,,,,,,,,,-0.0585269,45.01903
ST MEDARD DE GUIZIERES                ,8121,Complexe sportif du Gua,2350,Petit Bassin de plein air,316,"Petit Bassin / Pataugeoire de Plein Air",01-10-2009,,,"RUE W. JAUBERT",33230,COMMUNE DE SAINT MEDARD GUIZIERES,COMMUNE DE SAINT MEDARD GUIZIERES,,"Carrelage","Entrainement",7,5,,0,0,,,,,,,,,,-0.0583434,45.019485
ST MEDARD DE GUIZIERES                ,8121,Complexe sportif du Gua,2349,Piscine de Plein Air,310,"Piscine de Plein Air",01-10-2009,,,"RUE W. JAUBERT",33230,COMMUNE DE SAINT MEDARD GUIZIERES,COMMUNE DE SAINT MEDARD GUIZIERES,,"Carrelage","Entrainement",25,12,,0,1,,2,,,9,,,,8 cabines 1 vest  coll 2 douches coll ,-0.05823549,45.01963
ST MEDARD DE GUIZIERES                ,8121,Complexe sportif du Gua,2341,Skate Parc,408,"Piste de skate board, Skate Parc",01-10-2009,,,"RUE W. JAUBERT",33230,Commune,Commune,,"Béton","Non éclairé",42,7,,,,,,,,,,,,,-0.05758342,45.018925
ST MEDARD DE GUIZIERES                ,8121,Complexe sportif du Gua,2335,Plateau polyvalent ,202,"Plateau polyvalent (surface goudronnée: hand, basket...)",01-10-2009,,,"RUE W. JAUBERT",33230,Commune,Commune,,"Bitumineux","Non éclairé",31,20,,,,,,,,,,,,,-0.05787158,45.019135
