COMMUNE_EQUIPEMENT,CODE_EQUIPEMENT_PERE,EQUIPEMENT_PERE,CODE_EQUIPEMENT,EQUIPEMENT,CD_TYPE_EQUIPEMENT,TYPE_EQUIPEMENT,DATE_MAJ_EQUIPEMENT,ACTIVITE_PRATIQUE,NUM_DE_RUE,ADRESSE,CODE_POSTAL,GESTIONNAIRE,PROPRIETAIRE,ACCES_PMR,NATURE_DU_SOL,TYPE_ECLAIRAGE,LONGUEUR,LARGEUR,HAUTEUR,PROFONDEUR_MIN,PROFONDEUR_MAX,NB_VEST_ARBITRES_EQUIPEMENT,NB_DOUCHES_EQUIPEMENT,NB_PLACE_TRIBUNE_EQUIPEMENT,NB_TRIBUNES_EQUIPEMENT,NB_VEST_JEUNES_EQUIPEMENT,CAPACITE_DEBOUT_EQUIPEMENT,CAPACITE_TOTAL_EQUIPEMENT,NB_UNITE_EQUIPEMENT,UNITES_EQUIPEMENT,LONGITUDE,LATITUDE
VIRSAC                                ,8771,Complexe sportif du Berdat,2158,Court de tennis n°1,201,"Court de tennis",01-10-2009,,,"LIEU DIT BERDAT",33240,Commune,Commune,,"Bitumineux","Non éclairé",36,18,,,,,,,,,,,,,-0.4435,45.02649
VIRSAC                                ,8771,Complexe sportif du Berdat,2159,Court de tennis n°2,201,"Court de tennis",01-10-2009,,,"LIEU DIT BERDAT",33240,Commune,Commune,,"Béton poreux (Quick)","Non éclairé",36,18,,,,,,,,,,,,,-0.44371507,45.026474
VIRSAC                                ,8771,Complexe sportif du Berdat,2156,Equipement de proximité basket,420,"Equipement de proximité",01-10-2009,,,"LIEU DIT BERDAT",33240,Commune,Commune,,"Bitumineux","Non éclairé",40,17,,,,,,,,,,,,,-0.44344774,45.02697
VIRSAC                                ,8771,Complexe sportif du Berdat,2157,Equipement de proximité hand,420,"Equipement de proximité",01-10-2009,,,"LIEU DIT BERDAT",33240,Commune,Commune,,"Bitumineux","Non éclairé",16,13,,,,,,,,,,,,,-0.44346276,45.02676
VIRSAC                                ,8771,Complexe sportif du Berdat,10341,Plateau multisports,420,"Equipement de proximité",12-03-2012,,,"LIEU DIT BERDAT",33240,Commune,Commune,,"Enrobé poreux","Non éclairé",24,13,,,,,,,,,,,,,,
VIRSAC                                ,8771,Complexe sportif du Berdat,2160,Salle de sport ,101,"Salle de sport / Gymnase/Salle Omnisports",01-10-2009,,,"LIEU DIT BERDAT",33240,Commune,Commune,,"Synthétique","Compétition",30,19,8,,,2,2,,,2,,,,,-0.44243813,45.027084
VIRSAC                                ,,,2161,Salle des Fêtes,508,"Salle des fêtes",01-10-2009,,,"LIEU DIT BERDAT",33240,Commune,Commune,,"Carrelage","Entrainement",19,10,2,,,,,,,,,,,,-0.44270656,45.027122
VIRSAC                                ,8771,Complexe sportif du Berdat,2153,Terrain de football honneur,200,"Terrain de football",01-10-2009,,,"LIEU DIT BERDAT",33240,Commune,Commune,,"Pelouse","Entrainement",104,67,,,,,,,,,,,,,-0.44324985,45.028088
VIRSAC                                ,8771,Complexe sportif du Berdat,2154,Terrain de football entrainement,200,"Terrain de football",01-10-2009,,,"LIEU DIT BERDAT",33240,Commune,Commune,,"Pelouse","Entrainement",78,44,,,,,,,,,,,,,-0.44212028,45.02809
VIRSAC                                ,8771,Complexe sportif du Berdat,2155,Terrain de pétanque,215,"Terrain de pétanque",01-10-2009,,,"LIEU DIT BERDAT",33240,Commune,Commune,,"Gravier","Non éclairé",30,20,,,,,,,,,,,,,-0.44325736,45.027477
