Annee,Region,id_departement,Departement,Cultures,Surfaces certifiées bio,Surfaces C1,Surfaces C2,Surfaces C3
2009,AQUITAINE,47,LOT-ET-GARONNE,Céréales,"1463,95","173,25","136,61",0
2009,AQUITAINE,47,LOT-ET-GARONNE,Cultures fourragères,"1358,88","108,29","147,95",0
2009,AQUITAINE,47,LOT-ET-GARONNE,Fruits,"371,87","149,15","29,73","29,79"
2009,AQUITAINE,47,LOT-ET-GARONNE,Légumes frais,"177,93","3,95","11,59",0
2009,AQUITAINE,47,LOT-ET-GARONNE,Légumes secs,"129,43",0,0,0
2009,AQUITAINE,47,LOT-ET-GARONNE,Oléagineux,"2052,07","193,63","38,03",0
2009,AQUITAINE,47,LOT-ET-GARONNE,PPAM,"46,71",0,0,0
2009,AQUITAINE,47,LOT-ET-GARONNE,Protéagineux,"433,74","23,77","59,39",0
2009,AQUITAINE,47,LOT-ET-GARONNE,STH,"897,58","62,18","67,77",0
2009,AQUITAINE,47,LOT-ET-GARONNE,Vigne,"132,42","165,18","53,18","16,35"
2009,AQUITAINE,64,PYRENEES-ATLANTIQUES,Autres,"1061,59","57,2","38,92","2,69"
2009,AQUITAINE,64,PYRENEES-ATLANTIQUES,Céréales,"598,16","91,41","24,22",0
2009,AQUITAINE,64,PYRENEES-ATLANTIQUES,Cultures fourragères,"805,27","188,69","84,12",0
2009,AQUITAINE,64,PYRENEES-ATLANTIQUES,Fruits,"100,13","4,8","4,88","1,58"
2009,AQUITAINE,64,PYRENEES-ATLANTIQUES,Légumes frais,"91,4","19,26","2,85",0
2009,AQUITAINE,64,PYRENEES-ATLANTIQUES,Légumes secs,s,s,s,s
2009,AQUITAINE,64,PYRENEES-ATLANTIQUES,Oléagineux,"377,14","25,89","19,53",0
2009,AQUITAINE,64,PYRENEES-ATLANTIQUES,PPAM,"4,04","0,89","0,1",0
2009,AQUITAINE,64,PYRENEES-ATLANTIQUES,Protéagineux,"31,65",1,"2,09",0
2009,AQUITAINE,64,PYRENEES-ATLANTIQUES,STH,"1075,23","130,53","153,84",0
2009,AQUITAINE,64,PYRENEES-ATLANTIQUES,Vigne,"69,46","15,96","11,97","26,65"
2010,AQUITAINE,24,DORDOGNE,Autres,"403,87","281,94","245,36",2
2010,AQUITAINE,24,DORDOGNE,Céréales,"873,54","488,42","174,2",0
2010,AQUITAINE,24,DORDOGNE,Cultures fourragères,"1644,1","1303,53","558,35",0
2010,AQUITAINE,24,DORDOGNE,Fruits,"445,78","901,28","204,26","10,32"
2010,AQUITAINE,24,DORDOGNE,Légumes frais,"70,14","12,71","7,76",0
2010,AQUITAINE,24,DORDOGNE,Légumes secs,"17,62",0,0,0
2010,AQUITAINE,24,DORDOGNE,Oléagineux,"219,1","117,48","39,11",0
2010,AQUITAINE,24,DORDOGNE,PPAM,"11,88","0,53",0,0
2010,AQUITAINE,24,DORDOGNE,Protéagineux,"36,42","34,56","37,03",0
2010,AQUITAINE,24,DORDOGNE,STH,"2904,96","1865,76","404,52",0
2010,AQUITAINE,24,DORDOGNE,Vigne,"542,16","332,19","266,62","42,92"
2010,AQUITAINE,33,GIRONDE,Autres,"555,93","217,33","161,97","65,36"
2010,AQUITAINE,33,GIRONDE,Céréales,"250,04","262,6","93,17",0
2010,AQUITAINE,33,GIRONDE,Cultures fourragères,"241,47","207,51","42,61",0
2010,AQUITAINE,33,GIRONDE,Fruits,"250,82","46,42","21,74","53,11"
2010,AQUITAINE,33,GIRONDE,Légumes frais,"96,07","11,28","8,16",0
2010,AQUITAINE,33,GIRONDE,Légumes secs,s,s,s,s
2010,AQUITAINE,33,GIRONDE,Oléagineux,"215,71","75,98","56,36",0
2010,AQUITAINE,33,GIRONDE,PPAM,"0,32","0,77",0,0
2010,AQUITAINE,33,GIRONDE,Protéagineux,"29,71","86,72","48,65",0
2010,AQUITAINE,33,GIRONDE,STH,"1185,22","373,7","199,32",0
2010,AQUITAINE,33,GIRONDE,Vigne,"2168,42","2078,49","1166,34","410,3"
2010,AQUITAINE,40,LANDES,Autres,"415,59","161,41","15,97",0
2010,AQUITAINE,40,LANDES,Céréales,791,"231,32","201,68",0
2010,AQUITAINE,40,LANDES,Cultures fourragères,"300,95","124,56","33,02",0
2010,AQUITAINE,40,LANDES,Fruits,"31,56","8,36","8,79","0,57"
2010,AQUITAINE,40,LANDES,Légumes frais,"632,93","5,35","2,1",0
2010,AQUITAINE,40,LANDES,Légumes secs,"13,52",0,0,0
2010,AQUITAINE,40,LANDES,Oléagineux,"502,11","53,83","50,46",0
2010,AQUITAINE,40,LANDES,Protéagineux,"54,89",0,"2,65",0
2010,AQUITAINE,40,LANDES,STH,"283,17","37,26","19,56",0
2010,AQUITAINE,40,LANDES,Vigne,"18,25","11,9","0,17","0,48"
2010,AQUITAINE,47,LOT-ET-GARONNE,Autres,"883,31","401,68","88,19","0,28"
2010,AQUITAINE,47,LOT-ET-GARONNE,Céréales,"1780,68","1453,35","207,91",0
