#,$id,broader_concept,Titre du du niveau,Commentaire (description) du titre du niveau,libellé alternatif,libellé alternatif,libellé alternatif,libellé alternatif,libellé alternatif,libellé alternatif,
lang,,,fr,fr,fr,fr,fr,fr,fr,fr,
url,skos:Concept,skos:broader,skos:prefLabel,skos:definition,skos:altLabel,skos:altLabel,skos:altLabel,skos:altLabel,skos:altLabel,skos:altLabel,
type,,url,string,string,string,string,string,string,string,string,
,#1-2-37,#1-2,Les Goëlands,Camping,"Arès (Gironde, France) -- Les Goëlands",PAICULOI0000000050700762,,"44,7570320130001, -1,12252994799991",,,
,#1-2-38,#1-2,La Cigale,Camping,"Arès (Gironde, France) -- La Cigale",PAICULOI0000000050700699,,"44,773091079, -1,14260816099994",,,
,#1-2-39,#1-2,Pasteur,Camping,"Arès (Gironde, France) -- Pasteur",PAICULOI0000000050700764,,"44,7623090910001, -1,13651641499996",,,
,#1-2-4,#1-2,Le Perrey,Lieu-dit habité,"Arès (Gironde, France) -- Le Perrey",PAIHABIT0000000050818609,,"44,7771829100001, -1,13962645199996",,,
,#1-2-40,#1-2,Le Pot de Résine,Camping,"Arès (Gironde, France) -- Le Pot de Résine",PAICULOI0000000050700766,,"44,7569745660001, -1,12980495499994",,,
,#1-2-41,#1-2,La Canadienne,Camping,"Arès (Gironde, France) -- La Canadienne",PAICULOI0000000050700700,,"44,7784043030001, -1,14230876499994",,,
,#1-2-5,#1-2,Pigeon Bertrand,Lieu-dit habité,"Arès (Gironde, France) -- Pigeon Bertrand",PAIHABIT0000000050818606,,"44,774581142, -1,14133586599991",,,
,#1-2-6,#1-2,Saint-Brice,Lieu-dit habité,"Arès (Gironde, France) -- Saint-Brice",PAIHABIT0000000050819754,,"44,75236684, -1,12716886699991",,,
,#1-2-7,#1-2,Lurine,Lieu-dit habité,"Arès (Gironde, France) -- Lurine",PAIHABIT0000000050818597,,"44,793037412, -1,09940733499991",,,
,#1-2-8,#1-2,Pichoury,Lieu-dit habité,"Arès (Gironde, France) -- Pichoury",PAIHABIT0000000050817398,,"44,8258592980001, -1,03027952799994",,,
,#1-2-9,#1-2,Houdins,Lieu-dit habité,"Arès (Gironde, France) -- Houdins",PAIHABIT0000000050818608,,"44,7822446330001, -1,14383498499996",,,
,#1-3,#1,Audenge,Commune,"Audenge (Gironde, France)",COMMUNE00000000000026983,33019,"44.68361, -1.01333",33980,6448388,
,#1-3-1,#1-3,Collège Jean Verdier,Bâtiment,"Audenge (Gironde, France) -- Collège Jean Verdier",S0112,,"44.686273, -1.00553",,,
,#1-3-10,#1-3,Hougueyra,Lieu-dit habité,"Audenge (Gironde, France) -- Hougueyra",PAIHABIT0000000050821452,,"44,7029388650001, -0,960966460999941",,,
,#1-3-11,#1-3,La Houdine,Lieu-dit habité,"Audenge (Gironde, France) -- La Houdine",PAIHABIT0000000050821460,,"44,6804975820001, -1,00572329099992",,,
,#1-3-12,#1-3,Le Moulin,Lieu-dit habité,"Audenge (Gironde, France) -- Le Moulin",PAIHABIT0000000050821457,,"44,685879217, -0,995380946999944",,,
,#1-3-13,#1-3,Dutort,Lieu-dit habité,"Audenge (Gironde, France) -- Dutort",PAIHABIT0000000050820751,,"44,7260946120001, -0,894320191999952",,,
