#,$id,broader_concept,Titre du du niveau,Commentaire (description) du titre du niveau,libellé alternatif,libellé alternatif,libellé alternatif,libellé alternatif,libellé alternatif,libellé alternatif,
lang,,,fr,fr,fr,fr,fr,fr,fr,fr,
url,skos:Concept,skos:broader,skos:prefLabel,skos:definition,skos:altLabel,skos:altLabel,skos:altLabel,skos:altLabel,skos:altLabel,skos:altLabel,
type,,url,string,string,string,string,string,string,string,string,
,#22-7-12,#22-7,Le Loc du Grand Ramon,Lieu-dit habité,"Grayan-et-l'Hôpital (Gironde, France) -- Le Loc du Grand Ramon",PAIHABIT0000000050807366,,"45,4113674870001, -1,10686466499993",,,
,#22-7-13,#22-7,Daugagnan,Lieu-dit habité,"Grayan-et-l'Hôpital (Gironde, France) -- Daugagnan",PAIHABIT0000000050807265,,"45,4358401820001, -1,06499174599992",,,
,#22-7-14,#22-7,La Coutrillade,Lieu-dit habité,"Grayan-et-l'Hôpital (Gironde, France) -- La Coutrillade",PAIHABIT0000000050807365,,"45,4112291070001, -1,10348121899995",,,
,#22-7-15,#22-7,Martignan,Lieu-dit habité,"Grayan-et-l'Hôpital (Gironde, France) -- Martignan",PAIHABIT0000000050807276,,"45,4435038070001, -1,10662815099994",,,
,#22-7-16,#22-7,Valade,Lieu-dit habité,"Grayan-et-l'Hôpital (Gironde, France) -- Valade",PAIHABIT0000000050807272,,"45,442685495, -1,10075627799995",,,
,#22-7-17,#22-7,L'Anguilouse,Lieu-dit habité,"Grayan-et-l'Hôpital (Gironde, France) -- L'anguilouse",PAIHABIT0000000050807267,,"45,4178400490001, -1,06910191499992",,,
,#22-7-18,#22-7,À Coussan,Lieu-dit habité,"Grayan-et-l'Hôpital (Gironde, France) -- À Coussan",PAIHABIT0000000050807368,,"45,4116080510001, -1,09731705199994",,,
,#22-7-19,#22-7,Carreau,Lieu-dit habité,"Grayan-et-l'Hôpital (Gironde, France) -- Carreau",PAIHABIT0000000050807278,,"45,4152117310001, -1,09461262999992",,,
,#22-7-2,#22-7,Cazaou-Lebrit,Lieu-dit habité,"Grayan-et-l'Hôpital (Gironde, France) -- Cazaou-Lebrit",PAIHABIT0000000225041855,,"45,445214439, -1,09652251299991",,,
,#22-7-20,#22-7,Le Blanchet,Lieu-dit habité,"Grayan-et-l'Hôpital (Gironde, France) -- Le Blanchet",PAIHABIT0000000227823369,,"45,415410976, -1,09902624599994",,,
,#22-7-21,#22-7,Piqueau,Lieu-dit habité,"Grayan-et-l'Hôpital (Gironde, France) -- Piqueau",PAIHABIT0000000050807279,,"45,4314324690001, -1,09989734799996",,,
,#22-7-22,#22-7,Magrin,Lieu-dit habité,"Grayan-et-l'Hôpital (Gironde, France) -- Magrin",PAIHABIT0000000050807269,,"45,4422820900001, -1,10098778799994",,,
,#22-7-23,#22-7,L'hôpital,Lieu-dit habité,"Grayan-et-l'Hôpital (Gironde, France) -- L'hôpital",PAIHABIT0000000050807363,,"45,4128667740001, -1,08625945399996",,,
,#22-7-24,#22-7,Le Claou,Lieu-dit habité,"Grayan-et-l'Hôpital (Gironde, France) -- Le Claou",PAIHABIT0000000050807355,,"45,4104242560001, -1,08573804699995",,,
,#22-7-25,#22-7,Commune de Grayan-Et-L'hôpital,Lieu-dit habité,"Grayan-et-l'Hôpital (Gironde, France) -- Commune de Grayan-Et-L'hôpital",PAIHABIT0000000297457937,,"45,4491400580001, -1,09206208099994",,,
,#22-7-26,#22-7,La Lande,Lieu-dit habité,"Grayan-et-l'Hôpital (Gironde, France) -- La Lande",PAIHABIT0000000347673751,,"45,4372840890001, -1,08929307599993",,,
,#22-7-27,#22-7,Videau,Quartier,"Grayan-et-l'Hôpital (Gironde, France) -- Videau",PAIHABIT0000000050807277,,"45,4385772410001, -1,09615207799993",,,
,#22-7-28,#22-7,Lède de Bercassac et Esteys,Lieu-dit non habité,"Grayan-et-l'Hôpital (Gironde, France) -- Lède de Bercassac et Esteys",PAIE_NAT0000000050693241,,"45,458034152, -1,12073829199994",,,
,#22-7-29,#22-7,Landureau,Lieu-dit non habité,"Grayan-et-l'Hôpital (Gironde, France) -- Landureau",PAIE_NAT0000000050693292,,"45,4324441580001, -1,08857049999995",,,
,#22-7-3,#22-7,Euronat Centre Naturiste,Lieu-dit habité,"Grayan-et-l'Hôpital (Gironde, France) -- Euronat Centre Naturiste",PAIHABIT0000000306570559,,"45,4158676800001, -1,14269056599994",,,
,#22-7-30,#22-7,La Clare,Lieu-dit non habité,"Grayan-et-l'Hôpital (Gironde, France) -- La Clare",PAIE_NAT0000000050693294,,"45,4139514610001, -1,11109860299996",,,
,#22-7-31,#22-7,Les Prises,Lieu-dit non habité,"Grayan-et-l'Hôpital (Gironde, France) -- Les Prises",PAIE_NAT0000000050693232,,"45,4544540370001, -1,07025677699994",,,
,#22-7-32,#22-7,Peylongan,Lieu-dit non habité,"Grayan-et-l'Hôpital (Gironde, France) -- Peylongan",PAIE_NAT0000000050693361,,"45,4063791790001, -1,09194321699994",,,
,#22-7-33,#22-7,Le Gurp,Lieu-dit non habité,"Grayan-et-l'Hôpital (Gironde, France) -- Le Gurp",PAIE_NAT0000000050693243,,"45,4559480680001, -1,14381696399994",,,
,#22-7-34,#22-7,Hourtidon,Lieu-dit non habité,"Grayan-et-l'Hôpital (Gironde, France) -- Hourtidon",PAIE_NAT0000000050693286,,"45,4345810090001, -1,08023688899993",,,
,#22-7-35,#22-7,L'Esplingade,Lieu-dit non habité,"Grayan-et-l'Hôpital (Gironde, France) -- L'Esplingade",PAIE_NAT0000000050693233,,"45,4479594190001, -1,07444990399995",,,
,#22-7-36,#22-7,Lède de Carreau,Lieu-dit non habité,"Grayan-et-l'Hôpital (Gironde, France) -- Lède de Carreau",PAIE_NAT0000000050693293,,"45,4192097200001, -1,11533130099991",,,
,#22-7-37,#22-7,Les Planes,Lieu-dit non habité,"Grayan-et-l'Hôpital (Gironde, France) -- Les Planes",PAIE_NAT0000000050693237,,"45,4515255260001, -1,10698697999993",,,
,#22-7-38,#22-7,Lande Palue,Lieu-dit non habité,"Grayan-et-l'Hôpital (Gironde, France) -- Lande Palue",PAIE_NAT0000000050693228,,"45,4474072470001, -1,06539653799996",,,
,#22-7-39,#22-7,Lède de La Gastouse,Lieu-dit non habité,"Grayan-et-l'Hôpital (Gironde, France) -- Lède de La Gastouse",PAIE_NAT0000000050693295,,"45,4405936970001, -1,13718408999995",,,
,#22-7-4,#22-7,La Hille,Lieu-dit habité,"Grayan-et-l'Hôpital (Gironde, France) -- La Hille",PAIHABIT0000000319834208,,"45,4498133230001, -1,11131327499993",,,
,#22-7-40,#22-7,Les Prés Doux,Lieu-dit non habité,"Grayan-et-l'Hôpital (Gironde, France) -- Les Prés Doux",PAIE_NAT0000000050693227,,"45,4535933860001, -1,05653972699992",,,
,#22-7-41,#22-7,Lède du Gurp,Lieu-dit non habité,"Grayan-et-l'Hôpital (Gironde, France) -- Lède du Gurp",PAIE_NAT0000000050693242,,"45,4616917750001, -1,14355247499992",,,
,#22-7-42,#22-7,Lou Henna,Lieu-dit non habité,"Grayan-et-l'Hôpital (Gironde, France) -- Lou Henna",PAIE_NAT0000000050693236,,"45,4525211850001, -1,06838563599996",,,
,#22-7-43,#22-7,Coutéréou,Lieu-dit non habité,"Grayan-et-l'Hôpital (Gironde, France) -- Coutéréou",PAIE_NAT0000000050693289,,"45,4367017810001, -1,08127510499992",,,
,#22-7-44,#22-7,Pan Perdu,Lieu-dit non habité,"Grayan-et-l'Hôpital (Gironde, France) -- Pan Perdu",PAIE_NAT0000000050693235,,"45,457055439, -1,07648187699994",,,
,#22-7-45,#22-7,La Reneyre,Lieu-dit non habité,"Grayan-et-l'Hôpital (Gironde, France) -- La Reneyre",PAIE_NAT0000000050693234,,"45,458316369, -1,08117916899994",,,
,#22-7-46,#22-7,La Hille,Lieu-dit non habité,"Grayan-et-l'Hôpital (Gironde, France) -- La Hille",PAIE_NAT0000000050693240,,"45,44598698, -1,11604369499992",,,
,#22-7-47,#22-7,Les Grands Camps,Bois,"Grayan-et-l'Hôpital (Gironde, France) -- Les Grands Camps",PAIE_NAT0000000050693275,,"45,4423422850001, -1,05963600099994",,,
,#22-7-48,#22-7,Berbille,Bois,"Grayan-et-l'Hôpital (Gironde, France) -- Berbille",PAIE_NAT0000000050693284,,"45,4238066880001, -1,07010872399991",,,
,#22-7-49,#22-7,Les Treytins,Bois,"Grayan-et-l'Hôpital (Gironde, France) -- Les Treytins",PAIE_NAT0000000050693285,,"45,4404231070001, -1,08149349399991",,,
,#22-7-5,#22-7,Les Panissouses,Lieu-dit habité,"Grayan-et-l'Hôpital (Gironde, France) -- Les Panissouses",PAIHABIT0000000050807275,,"45,4276604070001, -1,09038505999996",,,
,#22-7-50,#22-7,Les Proubains,Bois,"Grayan-et-l'Hôpital (Gironde, France) -- Les Proubains",PAIE_NAT0000000050693288,,"45,4410411700001, -1,07484149399994",,,
,#22-7-51,#22-7,Les Pins,Bois,"Grayan-et-l'Hôpital (Gironde, France) -- Les Pins",PAIE_NAT0000000050693279,,"45,4388622960001, -1,07745706499992",,,
,#22-7-52,#22-7,La Terre du Loup,Bois,"Grayan-et-l'Hôpital (Gironde, France) -- La Terre du Loup",PAIE_NAT0000000050693278,,"45,4310767010001, -1,07058122599994",,,
,#22-7-53,#22-7,Les Communs de Berville,Bois,"Grayan-et-l'Hôpital (Gironde, France) -- Les Communs de Berville",PAIE_NAT0000000050693277,,"45,4291673660001, -1,06470961499991",,,
,#22-7-54,#22-7,Le Piquey,Bois,"Grayan-et-l'Hôpital (Gironde, France) -- Le Piquey",PAIE_NAT0000000050693282,,"45,4259291960001, -1,07373046099991",,,
,#22-7-55,#22-7,La Carougneyre,Bois,"Grayan-et-l'Hôpital (Gironde, France) -- La Carougneyre",PAIE_NAT0000000050693281,,"45,4377390440001, -1,07092862299993",,,
,#22-7-56,#22-7,Placettes,Bois,"Grayan-et-l'Hôpital (Gironde, France) -- Placettes",PAIE_NAT0000000050693238,,"45,4479559700001, -1,09248722299992",,,
,#22-7-57,#22-7,Landeuil,Bois,"Grayan-et-l'Hôpital (Gironde, France) -- Landeuil",PAIE_NAT0000000050693280,,"45,439916849, -1,06918243699994",,,
,#22-7-58,#22-7,Les Maurelles,Bois,"Grayan-et-l'Hôpital (Gironde, France) -- Les Maurelles",PAIE_NAT0000000050693287,,"45,418088836, -1,08040718299992",,,
,#22-7-59,#22-7,Le Pelous,Bois,"Grayan-et-l'Hôpital (Gironde, France) -- Le Pelous",PAIE_NAT0000000050693290,,"45,4229398090001, -1,07547667799992",,,
,#22-7-6,#22-7,La Hutte,Lieu-dit habité,"Grayan-et-l'Hôpital (Gironde, France) -- La Hutte",PAIHABIT0000000050807268,,"45,4256919680001, -1,08175953099993",,,
,#22-7-60,#22-7,La Pouyeyre,Bois,"Grayan-et-l'Hôpital (Gironde, France) -- La Pouyeyre",PAIE_NAT0000000050693360,,"45,4149424440001, -1,07581440799993",,,
,#22-7-61,#22-7,Les Gravettes,Bois,"Grayan-et-l'Hôpital (Gironde, France) -- Les Gravettes",PAIE_NAT0000000050693283,,"45,442334772, -1,08168778299995",,,
,#22-7-62,#22-7,Le Gurp,Camping,"Grayan-et-l'Hôpital (Gironde, France) -- Le Gurp",PAICULOI0000000050700328,,"45,4346813730001, -1,14433073999993",,,
,#22-7-63,#22-7,Camping des Familles,Camping,"Grayan-et-l'Hôpital (Gironde, France) -- Camping des Familles",PAICULOI0000000050700326,,"45,4365502320001, -1,09161223699994",,,
,#22-7-64,#22-7,Les Franquettes,Camping,"Grayan-et-l'Hôpital (Gironde, France) -- Les Franquettes",PAICULOI0000000050700324,,"45,4455391290001, -1,08649238499993",,,
,#22-7-7,#22-7,Le Plantey,Lieu-dit habité,"Grayan-et-l'Hôpital (Gironde, France) -- Le Plantey",PAIHABIT0000000050807266,,"45,4439972580001, -1,07061115699992",,,
,#22-7-8,#22-7,Le Mayne,Lieu-dit habité,"Grayan-et-l'Hôpital (Gironde, France) -- Le Mayne",PAIHABIT0000000050807359,,"45,4116954340001, -1,08129081799996",,,
,#22-7-9,#22-7,Les Grigots,Lieu-dit habité,"Grayan-et-l'Hôpital (Gironde, France) -- Les Grigots",PAIHABIT0000000050807364,,"45,4017071640001, -1,09220335599991",,,
,#22-8,#22,Jau-Dignac-et-Loirac,Commune,"Jau-Dignac-et-Loirac (Gironde, France)",COMMUNE00000000000003685,33208,"45.40778, -0.95806",33590,6432256,
,#22-8-1,#22-8,La Salle,Lieu-dit habité,"Jau-Dignac-et-Loirac (Gironde, France) -- La Salle",PAIHABIT0000000050807309,,"45,3981508430001, -0,960555488999944",,,
,#22-8-10,#22-8,Noaillac,Lieu-dit habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Noaillac",PAIHABIT0000000050807318,,"45,4040096580001, -0,98342725699996",,,
,#22-8-11,#22-8,Goulée,Lieu-dit habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Goulée",PAIHABIT0000000050807299,,"45,4085283630001, -0,927338913999961",,,
,#22-8-12,#22-8,Les Pièces,Lieu-dit habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Les Pièces",PAIHABIT0000000050807296,,"45,4020555000001, -0,932234950999941",,,
,#22-8-13,#22-8,Le Gadet,Lieu-dit habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Le Gadet",PAIHABIT0000000050807308,,"45,412394024, -0,967284867999922",,,
,#22-8-14,#22-8,Les Avents,Lieu-dit habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Les Avents",PAIHABIT0000000050807225,,"45,420929732, -0,938605933999952",,,
,#22-8-15,#22-8,La Hourcade,Lieu-dit habité,"Jau-Dignac-et-Loirac (Gironde, France) -- La Hourcade",PAIHABIT0000000050807232,,"45,4225898910001, -0,979926223999939",,,
,#22-8-16,#22-8,Dignac,Lieu-dit habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Dignac",PAIHABIT0000000050807304,,"45,4145851490001, -0,946142782999914",,,
,#22-8-17,#22-8,Le Moulin Neuf,Lieu-dit habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Le Moulin Neuf",PAIHABIT0000000050807236,,"45,418168086, -0,983893096999907",,,
,#22-8-18,#22-8,Le Cottage,Lieu-dit habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Le Cottage",PAIHABIT0000000050807288,,"45,4123178350001, -0,91783367499994",,,
,#22-8-19,#22-8,Tousquiron,Lieu-dit habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Tousquiron",PAIHABIT0000000050807311,,"45,4001180370001, -0,967409423999925",,,
,#22-8-2,#22-8,Semensan,Lieu-dit habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Semensan",PAIHABIT0000000050807306,,"45,4149474920001, -0,957977601999914",,,
,#22-8-20,#22-8,Boussan,Lieu-dit habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Boussan",PAIHABIT0000000050807305,,"45,4056749750001, -0,946036160999938",,,
,#22-8-21,#22-8,Lagunette,Lieu-dit habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Lagunette",PAIHABIT0000000050807303,,"45,4168707650001, -0,944962219999923",,,
,#22-8-22,#22-8,Loulan,Lieu-dit habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Loulan",PAIHABIT0000000050807315,,"45,402664073, -0,986580384999911",,,
,#22-8-23,#22-8,Les Abis,Lieu-dit habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Les Abis",PAIHABIT0000000050807300,,"45,4030123140001, -0,946863305999955",,,
,#22-8-24,#22-8,Le Perey,Lieu-dit habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Le Perey",PAIHABIT0000000050807302,,"45,4158802910001, -0,951091598999938",,,
,#22-8-25,#22-8,Le Clou,Lieu-dit habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Le Clou",PAIHABIT0000000050807228,,"45,4188966250001, -0,979985572999908",,,
,#22-8-26,#22-8,Pey de Clair,Lieu-dit habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Pey de Clair",PAIHABIT0000000050807237,,"45,42660648, -0,983530235999922",,,
,#22-8-27,#22-8,Méric,Lieu-dit habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Méric",PAIHABIT0000000050807316,,"45,4093300560001, -0,998229337999931",,,
,#22-8-28,#22-8,Charmail,Lieu-dit habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Charmail",PAIHABIT0000000050807229,,"45,4326578770001, -0,978662723999946",,,
,#22-8-29,#22-8,Toureau,Lieu-dit habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Toureau",PAIHABIT0000000050807297,,"45,4116204580001, -0,937670922999928",,,
,#22-8-3,#22-8,La Pargaud,Lieu-dit habité,"Jau-Dignac-et-Loirac (Gironde, France) -- La Pargaud",PAIHABIT0000000050807294,,"45,413117738, -0,919734621999908",,,
,#22-8-30,#22-8,Bellot,Lieu-dit habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Bellot",PAIHABIT0000000050807301,,"45,4013496490001, -0,945229953999956",,,
,#22-8-31,#22-8,Loirac,Lieu-dit habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Loirac",PAIHABIT0000000050807312,,"45,3977136780001, -0,963763333999907",,,
,#22-8-32,#22-8,Les Pièces,Lieu-dit habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Les Pièces",PAIHABIT0000000050807233,,"45,4333866430001, -0,987760852999941",,,
,#22-8-33,#22-8,Château Listran,Lieu-dit habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Château Listran",PAIHABIT0000000050807230,,"45,4260288340001, -0,970542760999933",,,
,#22-8-34,#22-8,Sestignan,Lieu-dit habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Sestignan",PAIHABIT0000000050807317,,"45,4012766810001, -0,982368778999955",,,
,#22-8-35,#22-8,La Brasserie,Lieu-dit habité,"Jau-Dignac-et-Loirac (Gironde, France) -- La Brasserie",PAIHABIT0000000050807231,,"45,429516113, -0,964689311999962",,,
,#22-8-36,#22-8,Commune de Jau-Dignac-Et-Loirac,Lieu-dit habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Commune de Jau-Dignac-Et-Loirac",PAIHABIT0000000050807314,,"45,4117805450001, -0,963068088999933",,,
,#22-8-37,#22-8,La Hutte,Grange,"Jau-Dignac-et-Loirac (Gironde, France) -- La Hutte",PAIHABIT0000000050807295,,"45,3932021210001, -0,932926670999962",,,
,#22-8-38,#22-8,Les Aubiers,Lieu-dit non habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Les Aubiers",PAIE_NAT0000000050693254,,"45,4303210360001, -0,98155317599992",,,
,#22-8-39,#22-8,Le Marès,Lieu-dit non habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Le Marès",PAIE_NAT0000000050693320,,"45,4155075400001, -0,966461290999916",,,
,#22-8-4,#22-8,Le Pranaud,Lieu-dit habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Le Pranaud",PAIHABIT0000000050807227,,"45,4279800420001, -0,958766554999954",,,
,#22-8-40,#22-8,La Matte de Goulée,Lieu-dit non habité,"Jau-Dignac-et-Loirac (Gironde, France) -- La Matte de Goulée",PAIE_NAT0000000050693302,,"45,4101442100001, -0,909626824999918",,,
,#22-8-41,#22-8,Canet,Lieu-dit non habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Canet",PAIE_NAT0000000050693308,,"45,3911304700001, -0,945812418999935",,,
,#22-8-42,#22-8,Les Pièces,Lieu-dit non habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Les Pièces",PAIE_NAT0000000050693258,,"45,430179276, -0,998093468999912",,,
,#22-8-43,#22-8,La Matte Commune,Lieu-dit non habité,"Jau-Dignac-et-Loirac (Gironde, France) -- La Matte Commune",PAIE_NAT0000000050693245,,"45,4322728860001, -0,940210505999914",,,
,#22-8-44,#22-8,Le Gravat,Lieu-dit non habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Le Gravat",PAIE_NAT0000000050693328,,"45,4082659370001, -0,982595715999935",,,
,#22-8-45,#22-8,La Matte des Paysans,Lieu-dit non habité,"Jau-Dignac-et-Loirac (Gironde, France) -- La Matte des Paysans",PAIE_NAT0000000050693255,,"45,4455007010001, -0,983424058999958",,,
,#22-8-46,#22-8,Les Petites Pièces,Lieu-dit non habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Les Petites Pièces",PAIE_NAT0000000050693256,,"45,4188157350001, -1,00290501799992",,,
,#22-8-47,#22-8,Les Barrats,Lieu-dit non habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Les Barrats",PAIE_NAT0000000050693249,,"45,425397252, -0,953856697999925",,,
,#22-8-48,#22-8,Lamale,Lieu-dit non habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Lamale",PAIE_NAT0000000050693311,,"45,4111938040001, -0,94971260199992",,,
,#22-8-49,#22-8,Pontac,Lieu-dit non habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Pontac",PAIE_NAT0000000050693315,,"45,4087682370001, -0,963860618999945",,,
,#22-8-5,#22-8,Le Broustéra,Lieu-dit habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Le Broustéra",PAIHABIT0000000050807313,,"45,4032884420001, -0,980712147999952",,,
,#22-8-50,#22-8,Fontbarrique,Lieu-dit non habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Fontbarrique",PAIE_NAT0000000050693417,,"45,386762725, -0,942499520999945",,,
,#22-8-51,#22-8,La Franque,Lieu-dit non habité,"Jau-Dignac-et-Loirac (Gironde, France) -- La Franque",PAIE_NAT0000000050693316,,"45,408768599, -0,974764875999938",,,
,#22-8-52,#22-8,La Matte de Lancelot,Lieu-dit non habité,"Jau-Dignac-et-Loirac (Gironde, France) -- La Matte de Lancelot",PAIE_NAT0000000050693212,,"45,453856585, -0,982212103999927",,,
,#22-8-53,#22-8,Le Pernon,Lieu-dit non habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Le Pernon",PAIE_NAT0000000050693423,,"45,3886631300001, -0,96746584899995",,,
,#22-8-54,#22-8,Verthamon,Lieu-dit non habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Verthamon",PAIE_NAT0000000050693338,,"45,3934090780001, -1,00308451599994",,,
,#22-8-55,#22-8,La Matte de Richard,Lieu-dit non habité,"Jau-Dignac-et-Loirac (Gironde, France) -- La Matte de Richard",PAIE_NAT0000000050693246,,"45,4259893020001, -0,929724286999942",,,
,#22-8-56,#22-8,La Grande Prade,Lieu-dit non habité,"Jau-Dignac-et-Loirac (Gironde, France) -- La Grande Prade",PAIE_NAT0000000050693247,,"45,4240842470001, -0,959583643999906",,,
,#22-8-57,#22-8,Le Cassanat,Lieu-dit non habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Le Cassanat",PAIE_NAT0000000050693337,,"45,4019142850001, -1,00322740299993",,,
,#22-8-58,#22-8,Les Cinquante Journaux,Lieu-dit non habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Les Cinquante Journaux",PAIE_NAT0000000050693340,,"45,4151027990001, -1,00452193999996",,,
,#22-8-59,#22-8,Palu de Liquard,Lieu-dit non habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Palu de Liquard",PAIE_NAT0000000050693319,,"45,3918267880001, -0,961278307999919",,,
,#22-8-6,#22-8,Paul,Lieu-dit habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Paul",PAIHABIT0000000050807226,,"45,426749521, -0,953476633999912",,,
,#22-8-60,#22-8,Le Ramonet,Lieu-dit non habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Le Ramonet",PAIE_NAT0000000050693416,,"45,3824213780001, -0,944989644999907",,,
,#22-8-61,#22-8,Ferregrave,Lieu-dit non habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Ferregrave",PAIE_NAT0000000050693257,,"45,4182320030001, -0,99050746599994",,,
,#22-8-62,#22-8,Drouillard,Lieu-dit non habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Drouillard",PAIE_NAT0000000050693422,,"45,3862449480001, -0,968868305999933",,,
,#22-8-63,#22-8,Suet,Lieu-dit non habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Suet",PAIE_NAT0000000050693412,,"45,377066513, -0,951928281999926",,,
,#22-8-64,#22-8,Layoula,Lieu-dit non habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Layoula",PAIE_NAT0000000050693330,,"45,3996023810001, -0,98386518999996",,,
,#22-8-65,#22-8,Le Gachin,Lieu-dit non habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Le Gachin",PAIE_NAT0000000050693317,,"45,417389331, -0,965845434999949",,,
,#22-8-66,#22-8,L'oustau Neuf,Lieu-dit non habité,"Jau-Dignac-et-Loirac (Gironde, France) -- L'oustau Neuf",PAIE_NAT0000000050693327,,"45,397602352, -0,989318172999958",,,
,#22-8-67,#22-8,Le Sable des Pins,Lieu-dit non habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Le Sable des Pins",PAIE_NAT0000000050693331,,"45,406255683, -0,986590995999961",,,
,#22-8-68,#22-8,Les Dix Journaux,Lieu-dit non habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Les Dix Journaux",PAIE_NAT0000000050693334,,"45,3898602730001, -0,988685808999946",,,
,#22-8-69,#22-8,La Junca,Lieu-dit non habité,"Jau-Dignac-et-Loirac (Gironde, France) -- La Junca",PAIE_NAT0000000050693305,,"45,4039838400001, -0,926636388999953",,,
,#22-8-7,#22-8,Les Plancards,Lieu-dit habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Les Plancards",PAIHABIT0000000050807293,,"45,416270872, -0,925826420999954",,,
,#22-8-70,#22-8,La Rivière,Lieu-dit non habité,"Jau-Dignac-et-Loirac (Gironde, France) -- La Rivière",PAIE_NAT0000000050693250,,"45,4230688590001, -0,947018054999944",,,
,#22-8-71,#22-8,La Matte de Listran,Lieu-dit non habité,"Jau-Dignac-et-Loirac (Gironde, France) -- La Matte de Listran",PAIE_NAT0000000050693252,,"45,446126339, -0,961421620999943",,,
,#22-8-72,#22-8,Les Prés Longs,Lieu-dit non habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Les Prés Longs",PAIE_NAT0000000050693306,,"45,4012465040001, -0,922653574999913",,,
,#22-8-73,#22-8,La Lande,Lieu-dit non habité,"Jau-Dignac-et-Loirac (Gironde, France) -- La Lande",PAIE_NAT0000000050693314,,"45,4109379110001, -0,969652667999923",,,
,#22-8-74,#22-8,Les Cailloux,Lieu-dit non habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Les Cailloux",PAIE_NAT0000000050693307,,"45,409879151, -0,919326995999939",,,
,#22-8-75,#22-8,Palu de Brion,Lieu-dit non habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Palu de Brion",PAIE_NAT0000000050693415,,"45,3889177730001, -0,94054499799995",,,
,#22-8-76,#22-8,La Petite Palue,Lieu-dit non habité,"Jau-Dignac-et-Loirac (Gironde, France) -- La Petite Palue",PAIE_NAT0000000050693339,,"45,4116142730001, -1,00344232799995",,,
,#22-8-77,#22-8,Les Graves,Lieu-dit non habité,"Jau-Dignac-et-Loirac (Gironde, France) -- Les Graves",PAIE_NAT0000000050693312,,"45,4054284800001, -0,952541010999937",,,
,#22-8-78,#22-8,La Matte de Paul,Lieu-dit non habité,"Jau-Dignac-et-Loirac (Gironde, France) -- La Matte de Paul",PAIE_NAT0000000050693248,,"45,4357604950001, -0,946837800999959",,,
,#22-8-79,#22-8,La Cotoye,Lieu-dit non habité,"Jau-Dignac-et-Loirac (Gironde, France) -- La Cotoye",PAIE_NAT0000000050693333,,"45,4019399170001, -0,991521131999946",,,
