OBJECTID,ID,Nom,Label,Code_SINOE,Code_Insee,MOA,Adresse_1,Adresse_2,CodePostal,Commune,Téléphone,Code_MOA,M_Adresse_1,M_Adresse_2,M_CodePostal,M_Commune,M_Téléphone,Horaires,L,M,Me,J,V,S,D,D_DV,D_FER,D_GRAV,D_ENC,D_BOIS,D_CART,D_D3E,D_PLAST,D_TEXT,D_DASRI,DD_HM,DD_PILES,DD_DMS,B_VERRE,D_PRO,ACCES_PRO,Code_Structure_Intercomm,LAT,LON
25,2,Déchèterie de Floirac,Floirac,0,33167,SIVOM DE LA RIVE DROITE,Rue Marcel Paul,,33270,Floirac,,1072,"Hotel de Ville 6, avenue Pasteur BP 110",,33270,FLOIRAC,05.57.80.87.00,9h15-12h30 et 14h00-17h45,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,VRAI,,FAUX,,1,44.825200025000072,-0.526520179999977
26,169,Déchèterie de Gensac,Gensac,0,33186,USTOM DU CASTILLONNAIS ET DU REOLAIS,Au Stade,,33890,Gensac,,5484,"Hôtel de Ville 4, le bourg",,33350,BELVES DE CASTILLON,05.56.61.46.27,"lundi au samedi (sauf mardi) :
9h-12h et 14h-18h",VRAI,FAUX,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,VRAI,,VRAI,,15,44.799982660000069,0.081203030000040
27,12,Déchèterie de Gradignan,Gradignan,5001,33192,CUB,Allée de Mégévie,,33170,Gradignan,,854,Esplanade Charles de Gaulle,,33076,BORDEAUX CEDEX,05.56.99.84.84,"du 01/04 au 30/09 : 9h00-12h30 et 13h15-19h00
du 01/10 au 01/04 : 9h00-12h30 et 13h15-18h00",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,VRAI,VRAI,VRAI,,FAUX,,28,44.778503634000060,-0.641432249999980
28,142,Déchèterie de Gujan-Mestras,Gujan-Mestras,5011,33199,COBAS,Avenue de Césarée,,33470,Gujan-Mestras,,17518,2 allée d'Espagne - BP147,,33311,ARCACHON CEDEX,05.56.22.33.44,"Lundi et Samedi : 8h-12h30 / 13h30-18h30
Du Mardi au Vendredi : 8h-18h30
Dimanche : 8h-12h
",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,VRAI,VRAI,VRAI,,FAUX,,18,44.603391157000033,-1.072712128999967
29,187,Déchèterie de Hourtin        ,Hourtin        ,4156,33203,SMICOTOM,Garthieu,,33990,Houtin,,2114,20 Zone d'Activité BP18,,33112,SAINT-LAURENT-MEDOC,05.56.73.27.40,Mardi au Samedi : 9h-12h et 13h30-17h30,FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,VRAI,VRAI,,VRAI,,8,45.127250848000074,-1.044841864999967
30,191,Déchèterie de Jau-Dignac,Jau-Dignac,4154,33208,SMICOTOM,9 Chemin Pontac,,33590,Jau-Dignac-et-Loirac,,2114,20 Zone d'Activité BP18,,33112,SAINT-LAURENT-MEDOC,05.56.73.27.40,"Mardi au Vendredi : 9h-12h
Samedi : 8h-12h et 13h30-17h30",FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,FAUX,VRAI,VRAI,VRAI,,VRAI,,8,45.407623076000050,-0.967022357999952
31,170,Déchèterie de La Réole,La Réole,5370,33352,USTOM DU CASTILLONNAIS ET DU REOLAIS,Z.I. Frimont,,33190,La Réole,,5484,"Hôtel de Ville 4, le bourg",,33350,BELVES DE CASTILLON,05.56.61.46.27,Mardi au samedi : 9h-12h30 et 13h30-18h,FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,FAUX,VRAI,FAUX,VRAI,,VRAI,,15,44.581661160000067,-0.072152570999947
32,177,Déchèterie de La Roche-Chalais,La Roche-Chalais,0,24354,SMICVAL,,ZI La Fonsèche,24490,La Roche-Chalais,,16814,"8, route de la pinière",,33910,SAINT-DENIS-DE-PILE,05.57.55.39.79,"HIVER (du 02/11 au 31/01) : 9H00-12H et 13H-17H
ÉTÉ (du 01/02 au 31/10) :  9H00-12H et 14H-18H",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,VRAI,VRAI,VRAI,VRAI,,FAUX,,41,45.142560769000056,-0.007386425999925
33,137,Déchèterie de La Teste-de-Buch,La Teste-de-Buch,2915,33529,COBAS,Avenue de l'aérodrome,,33260,La Teste-de-Buch,,17518,2 allée d'Espagne - BP147,,33311,ARCACHON CEDEX,05.56.22.33.44,"Lundi et Samedi : 8h-12h30 / 13h-18h30
Du Mardi au Vendredi : 8h-18h30
Dimanche : 8h-12h",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,VRAI,VRAI,VRAI,,FAUX,,18,44.603117776000033,-1.121385859999975
34,192,Déchèterie de Lacanau,Lacanau,4748,33214,SMICOTOM,1439 chemin Ceinture Talaris,,33680,Lacanau,,2114,20 Zone d'Activité BP18,,33112,SAINT-LAURENT-MEDOC,05.56.73.27.40,Mardi au Samedi : 9h-12h et 13h30-17h30,FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,FAUX,VRAI,VRAI,VRAI,,VRAI,,8,45.001901890000056,-1.090528472999949
