NB_PRESTATATION,ANNEE,COMMUNE
57,2010,Commune Montussan
15,2010,Commune Morizès
,2010,Commune Mouillac
40,2010,Commune Mouliets et Villemartin
28,2010,Commune Moulis en Médoc
30,2010,Commune Moulon
10,2010,Commune Mourens
2300,2010,Commune Mérignac
6,2010,Commune Mérignas
26,2010,Commune Naujac sur Mer
11,2010,Commune Naujan et Postiac
,2010,Commune Neuffons
12,2010,Commune Noaillac
43,2010,Commune Noaillan
15,2010,Commune Néac
36,2010,Commune Nérigean
,2010,Commune Omet
18,2010,Commune Ordonnac
6,2010,Commune Origne
54,2010,Commune Paillet
194,2010,Commune Parempuyre
294,2010,Commune Pauillac
46,2010,Commune Pellegrue
2068,2010,Commune Pessac
35,2010,Commune Pessac sur Dordogne
30,2010,Commune Petit Palais et Cornemps
35,2010,Commune Peujard
205,2010,Commune Pineuilh
36,2010,Commune Plassac
10,2010,Commune Pleine Selve
86,2010,Commune Podensac
31,2010,Commune Pomerol
31,2010,Commune Pompignac
8,2010,Commune Pompéjac
10,2010,Commune Pondaurat
34,2010,Commune Porchères
60,2010,Commune Portets
134,2010,Commune Preignac
7,2010,Commune Prignac en Médoc
49,2010,Commune Prignac et Marcamps
38,2010,Commune Préchac
65,2010,Commune Pugnac
32,2010,Commune Puisseguin
32,2010,Commune Pujols
22,2010,Commune Pujols sur Ciron
15,2010,Commune Puybarban
13,2010,Commune Puynormand
17,2010,Commune Périssac
67,2010,Commune Queyrac 
35,2010,Commune Quinsac
51,2010,Commune Rauzan
95,2010,Commune Reignac
,2010,Commune Rimons
7,2010,Commune Riocaud
61,2010,Commune Rions
23,2010,Commune Roaillan
16,2010,Commune Romagne
15,2010,Commune Roquebrune
13,2010,Commune Ruch
80,2010,Commune Sablons
72,2010,Commune Sadirac
10,2010,Commune Saillans
10,2010,Commune Salaunes
29,2010,Commune Salignac
31,2010,Commune Salleboeuf
129,2010,Commune Salles
19,2010,Commune Samonac
34,2010,Commune Saucats
22,2010,Commune Saugon
6,2010,Commune Saumos
