Annee;Region;id_departement;Departement;Cultures;Surfaces certifiées bio;Surfaces C1;Surfaces C2;Surfaces C3
2008;BASSE-NORMANDIE;61;ORNE;Fruits;118,16;10,91;7,68;9,11
2008;BASSE-NORMANDIE;61;ORNE;Légumes frais;20,48;3,52;0;0
2008;BASSE-NORMANDIE;61;ORNE;Oléagineux;29,79;0;0;0
2008;BASSE-NORMANDIE;61;ORNE;PPAM;2,55;0;0;0
2008;BASSE-NORMANDIE;61;ORNE;Protéagineux;52,44;2,82;16,78;0
2008;BASSE-NORMANDIE;61;ORNE;STH;6243,43;370,46;212,69;0,89
2008;BOURGOGNE;21;COTE-D'OR;Autres;843,02;127,35;10,61;1,1
2008;BOURGOGNE;21;COTE-D'OR;Céréales;2172,86;227,49;103,75;0
2008;BOURGOGNE;21;COTE-D'OR;Cultures fourragères;1182,63;81,87;112,03;0
2008;BOURGOGNE;21;COTE-D'OR;Fruits;7,62;9,59;0;1
2008;BOURGOGNE;21;COTE-D'OR;Légumes frais;68,2;2,39;0,06;0
2008;BOURGOGNE;21;COTE-D'OR;Légumes secs;33,56;0;0;0
2008;BOURGOGNE;21;COTE-D'OR;Oléagineux;286,48;0;15,63;0
2008;BOURGOGNE;21;COTE-D'OR;PPAM;8,86;0;0;0
2008;BOURGOGNE;21;COTE-D'OR;Protéagineux;235,54;3,72;7,07;0
2008;BOURGOGNE;21;COTE-D'OR;STH;2467,34;105,59;41,89;0
2008;BOURGOGNE;21;COTE-D'OR;Vigne;313,64;97,47;115,05;106,48
2008;BOURGOGNE;58;NIEVRE;Autres;288,76;11,54;80,57;0
2008;BOURGOGNE;58;NIEVRE;Céréales;742,14;21,25;173,54;0
2008;BOURGOGNE;58;NIEVRE;Cultures fourragères;1348,75;16,71;105,46;0
2008;BOURGOGNE;58;NIEVRE;Fruits;12,83;2,55;0;0
2008;BOURGOGNE;58;NIEVRE;Légumes frais;3,63;0;0;0
2008;BOURGOGNE;58;NIEVRE;Légumes secs;4,98;0;0,85;0
2008;BOURGOGNE;58;NIEVRE;Oléagineux;46,24;2,25;4,03;0
2008;BOURGOGNE;58;NIEVRE;PPAM;6,23;0;0;0
2008;BOURGOGNE;58;NIEVRE;Protéagineux;71,46;0;35,1;0
2008;BOURGOGNE;58;NIEVRE;STH;2853,62;125,62;294,33;0
2008;BOURGOGNE;58;NIEVRE;Vigne;15,43;0;43,45;6,47
2008;BOURGOGNE;71;SAONE-ET-LOIRE;Autres;118,18;7,35;8,99;0
2008;BOURGOGNE;71;SAONE-ET-LOIRE;Céréales;523,63;31,05;19,64;0
2008;BOURGOGNE;71;SAONE-ET-LOIRE;Cultures fourragères;1060,98;82,96;18,48;0
2008;BOURGOGNE;71;SAONE-ET-LOIRE;Fruits;10,09;0;0,1;0
2008;BOURGOGNE;71;SAONE-ET-LOIRE;Légumes frais;20,91;0,45;0,03;0
2008;BOURGOGNE;71;SAONE-ET-LOIRE;Légumes secs;s;s;s;s
2008;BOURGOGNE;71;SAONE-ET-LOIRE;Oléagineux;37,67;0;2,3;0
2008;BOURGOGNE;71;SAONE-ET-LOIRE;PPAM;2,6;0;0;0
2008;BOURGOGNE;71;SAONE-ET-LOIRE;Protéagineux;16,41;0;5,89;0
2008;BOURGOGNE;71;SAONE-ET-LOIRE;STH;3316,89;177,73;67,41;0
2008;BOURGOGNE;71;SAONE-ET-LOIRE;Vigne;134,94;128,73;80,25;25,82
2008;BOURGOGNE;89;YONNE;Autres;713,05;28,93;69,76;1,01
2008;BOURGOGNE;89;YONNE;Céréales;3352;207,36;153,06;0
2008;BOURGOGNE;89;YONNE;Cultures fourragères;999,55;65,9;144,51;0
2008;BOURGOGNE;89;YONNE;Fruits;31,7;1,07;0,55;0
2008;BOURGOGNE;89;YONNE;Légumes frais;38,72;2,19;2,77;0
2008;BOURGOGNE;89;YONNE;Légumes secs;84,23;0;0;0
2008;BOURGOGNE;89;YONNE;Oléagineux;380,47;23,49;32,72;0
2008;BOURGOGNE;89;YONNE;PPAM;8,17;0,02;0;0
2008;BOURGOGNE;89;YONNE;Protéagineux;544,99;17,6;52,47;0
2008;BOURGOGNE;89;YONNE;STH;854,45;47,19;38,88;0
2008;BOURGOGNE;89;YONNE;Vigne;113,07;9,37;31,58;9,46
2008;BRETAGNE;22;COTES-D'ARMOR;Autres;439;23,79;20,09;3,79
2008;BRETAGNE;22;COTES-D'ARMOR;Céréales;1650,16;55,37;89,09;0
2008;BRETAGNE;22;COTES-D'ARMOR;Cultures fourragères;2616,55;89,14;49,56;5,09
2008;BRETAGNE;22;COTES-D'ARMOR;Fruits;122,36;3,02;0,63;8,48
2008;BRETAGNE;22;COTES-D'ARMOR;Légumes frais;476,95;127,91;4,07;0
2008;BRETAGNE;22;COTES-D'ARMOR;Légumes secs;s;s;s;s
2008;BRETAGNE;22;COTES-D'ARMOR;Oléagineux;s;s;s;s
2008;BRETAGNE;22;COTES-D'ARMOR;PPAM;1,85;0;0,02;0
2008;BRETAGNE;22;COTES-D'ARMOR;Protéagineux;121,59;1,51;3,09;0
