ETE,TYPE_DE_PRODUIT,PRODUIT,DATE_DEBUT_SESSION,DATE_FIN_SESSION
Eté 2005,AVG,AG 12 FRONTENAC/FALEYRAS ,04-07-2005,08-07-2005
Eté 2005,AVG,AG 12 FRONTENAC/FALEYRAS ,18-07-2005,22-07-2005
Eté 2005,AVG,AG 12 FRONTENAC/FALEYRAS ,25-07-2005,29-07-2005
Eté 2005,AVG,AG 12 FRONTENAC/FALEYRAS ,01-08-2005,05-08-2005
Eté 2005,AVG,AG 12 FRONTENAC/FALEYRAS ,08-08-2005,12-08-2005
Eté 2005,AVG,AG 12 FRONTENAC/FALEYRAS ,15-08-2005,19-08-2005
Eté 2005,AVG,AG 12 FRONTENAC/FALEYRAS ,22-08-2005,26-08-2005
Eté 2005,AVG,AG 13 FALEYRAS/FRONTENAC ,04-07-2005,08-07-2005
Eté 2005,AVG,AG 13 FALEYRAS/FRONTENAC ,11-07-2005,15-07-2005
Eté 2005,AVG,AG 13 FALEYRAS/FRONTENAC ,18-07-2005,22-07-2005
Eté 2005,AVG,AG 13 FALEYRAS/FRONTENAC ,25-07-2005,29-07-2005
Eté 2005,AVG,AG 13 FALEYRAS/FRONTENAC ,01-08-2005,05-08-2005
Eté 2005,AVG,AG 13 FALEYRAS/FRONTENAC ,08-08-2005,12-08-2005
Eté 2005,AVG,AG 13 FALEYRAS/FRONTENAC ,16-08-2005,19-08-2005
Eté 2005,AVG,AG 13 FALEYRAS/FRONTENAC ,22-08-2005,26-08-2005
Eté 2005,AVG,AG 02 TAYAC/ST SEURIN SUR L'ISLE ,19-07-2005,21-07-2005
Eté 2005,AVG,AG 02 TAYAC/ST SEURIN SUR L'ISLE ,05-07-2005,07-07-2005
Eté 2005,AVG,AG 02 TAYAC/ST SEURIN SUR L'ISLE ,26-07-2005,28-07-2005
Eté 2005,AVG,AG 02 TAYAC/ST SEURIN SUR L'ISLE ,02-08-2005,04-08-2005
Eté 2005,AVG,AG 02 TAYAC/ST SEURIN SUR L'ISLE ,09-08-2005,11-08-2005
Eté 2005,AVG,AG 02 TAYAC/ST SEURIN SUR L'ISLE ,16-08-2005,18-08-2005
